1500568119.96={"ticker":{"high":310,"low":280,"last":307,"vol":41037.982529,"buy":305.07,"sell":307}}
1500568150.24={"ticker":{"high":310,"low":280,"last":307,"vol":41034.982529,"buy":305.1,"sell":307}}
1500568180.5={"ticker":{"high":310,"low":280,"last":307,"vol":41029.29036,"buy":305.1,"sell":307.62}}
1500568210.75={"ticker":{"high":310,"low":280,"last":307,"vol":41018.48676,"buy":305.08,"sell":307.62}}
1500568240.93={"ticker":{"high":310,"low":280,"last":307,"vol":41018.48676,"buy":305.1,"sell":307.62}}
1500568271.21={"ticker":{"high":310,"low":280,"last":307,"vol":40877.13204,"buy":305.1,"sell":307.62}}
1500568301.57={"ticker":{"high":310,"low":280,"last":307,"vol":40877.13204,"buy":305.1,"sell":307.62}}
1500568331.91={"ticker":{"high":310,"low":280,"last":307,"vol":40876.939606,"buy":305.1,"sell":307.62}}
1500568362.34={"ticker":{"high":310,"low":280,"last":307,"vol":40876.939606,"buy":305.1,"sell":307.61}}
1500568392.64={"ticker":{"high":310,"low":280,"last":307,"vol":40873.931601,"buy":307,"sell":307.61}}
1500568422.87={"ticker":{"high":310,"low":280,"last":307,"vol":40872.114485,"buy":307,"sell":307.61}}
1500568453.09={"ticker":{"high":310,"low":280,"last":305.1,"vol":40969.924927,"buy":305.08,"sell":307.6}}
1500568483.39={"ticker":{"high":310,"low":280,"last":302.07,"vol":41236.866922,"buy":302.08,"sell":305.08}}
1500568513.66={"ticker":{"high":310,"low":280,"last":305.08,"vol":41266.733843,"buy":305.08,"sell":307.44}}
1500568544.01={"ticker":{"high":310,"low":280,"last":302.12,"vol":41318.685282,"buy":302.19,"sell":306.98}}
1500568574.45={"ticker":{"high":310,"low":280,"last":302.12,"vol":41318.685282,"buy":302.3,"sell":306.98}}
1500568604.73={"ticker":{"high":310,"low":280,"last":305.01,"vol":41333.730038,"buy":305,"sell":305.01}}
1500568635.02={"ticker":{"high":310,"low":280,"last":305.01,"vol":41307.805515,"buy":302.5,"sell":305}}
1500568665.31={"ticker":{"high":310,"low":280,"last":305.01,"vol":41257.805515,"buy":302.51,"sell":305}}
1500568695.54={"ticker":{"high":310,"low":280,"last":305,"vol":41266.726454,"buy":305,"sell":306.97}}
1500568725.81={"ticker":{"high":310,"low":280,"last":305,"vol":41303.216469,"buy":302.53,"sell":304.99}}
1500568756.07={"ticker":{"high":310,"low":280,"last":305,"vol":41287.911418,"buy":303.02,"sell":304.99}}
1500568786.34={"ticker":{"high":310,"low":280,"last":305,"vol":41287.911418,"buy":304,"sell":304.99}}
