1499704095.1={"ticker":{"high":350,"low":320.6,"last":333.19,"vol":44117.097253,"buy":333.19,"sell":333.84}}
1499704125.39={"ticker":{"high":350,"low":320.6,"last":333.19,"vol":44122.989969,"buy":331.16,"sell":333.84}}
1499704155.58={"ticker":{"high":350,"low":320.6,"last":333.83,"vol":44141.511321,"buy":333.83,"sell":335}}
1499704185.94={"ticker":{"high":350,"low":320.6,"last":333.83,"vol":44122.117087,"buy":333.83,"sell":334.98}}
1499704216.21={"ticker":{"high":350,"low":320.6,"last":333.83,"vol":44122.117087,"buy":333.83,"sell":334.98}}
1499704246.45={"ticker":{"high":350,"low":320.6,"last":334.95,"vol":44124.261802,"buy":333.83,"sell":334.95}}
1499704276.71={"ticker":{"high":350,"low":320.6,"last":333.83,"vol":44126.241572,"buy":331.23,"sell":334.92}}
1499704306.89={"ticker":{"high":350,"low":320.6,"last":331.23,"vol":44128.039872,"buy":331.1,"sell":331.23}}
1499704337.1={"ticker":{"high":350,"low":320.6,"last":331.05,"vol":44143.606448,"buy":331.05,"sell":331.1}}
1499704367.39={"ticker":{"high":350,"low":320.6,"last":331.1,"vol":44144.376448,"buy":331.05,"sell":331.1}}
1499704397.58={"ticker":{"high":350,"low":320.6,"last":331.1,"vol":44155.390946,"buy":331.05,"sell":331.1}}
1499704427.82={"ticker":{"high":350,"low":320.6,"last":331.1,"vol":44178.433167,"buy":331,"sell":331.1}}
1499704458.02={"ticker":{"high":350,"low":320.6,"last":327.12,"vol":44171.445826,"buy":327.16,"sell":331.09}}
1499704488.47={"ticker":{"high":350,"low":320.6,"last":331.1,"vol":44181.143218,"buy":327.33,"sell":331.1}}
1499704518.71={"ticker":{"high":350,"low":320.6,"last":331.1,"vol":44196.525825,"buy":328.04,"sell":331.23}}
1499704548.93={"ticker":{"high":350,"low":320.6,"last":331.1,"vol":44192.025825,"buy":329.23,"sell":331.23}}
1499704579.15={"ticker":{"high":350,"low":320.6,"last":331.1,"vol":44192.025825,"buy":330,"sell":331.23}}
1499704609.71={"ticker":{"high":350,"low":320.6,"last":331.1,"vol":44192.025825,"buy":329.25,"sell":331.23}}
1499704639.96={"ticker":{"high":350,"low":320.6,"last":331.1,"vol":44192.025825,"buy":329.32,"sell":331.23}}
1499704670.63={"ticker":{"high":350,"low":320.6,"last":331.1,"vol":44192.025825,"buy":329.5,"sell":331.23}}
1499704700.8={"ticker":{"high":350,"low":320.6,"last":329.56,"vol":44341.815875,"buy":329.5,"sell":331.23}}
1499704731.02={"ticker":{"high":350,"low":320.6,"last":329.56,"vol":44341.815875,"buy":329.6,"sell":331.23}}
1499704761.29={"ticker":{"high":350,"low":320.6,"last":329.56,"vol":44341.815875,"buy":330,"sell":331.23}}
1499704791.49={"ticker":{"high":350,"low":320.6,"last":329.56,"vol":44293.391694,"buy":330,"sell":331.02}}
1499704821.72={"ticker":{"high":350,"low":320.6,"last":331.02,"vol":44294.926578,"buy":331.04,"sell":333.16}}
1499704851.92={"ticker":{"high":350,"low":320.6,"last":331.02,"vol":44294.926578,"buy":331.02,"sell":332}}
1499704882.39={"ticker":{"high":350,"low":320.6,"last":331.02,"vol":44292.432899,"buy":331.11,"sell":332}}
1499704912.61={"ticker":{"high":350,"low":320.6,"last":331.02,"vol":44302.432899,"buy":331.1,"sell":332}}
1499704942.82={"ticker":{"high":350,"low":320.6,"last":331.02,"vol":44302.432899,"buy":331.1,"sell":332}}
1499704973.07={"ticker":{"high":350,"low":320.6,"last":331.02,"vol":44301.432899,"buy":331.1,"sell":332}}
1499705003.28={"ticker":{"high":350,"low":320.6,"last":332,"vol":44303.996161,"buy":331.02,"sell":332}}
1499705033.57={"ticker":{"high":350,"low":320.6,"last":333.84,"vol":44308.996161,"buy":331.02,"sell":333.82}}
1499705063.85={"ticker":{"high":350,"low":320.6,"last":333.84,"vol":44308.996161,"buy":331.03,"sell":333.82}}
1499705094.3={"ticker":{"high":350,"low":320.6,"last":333.84,"vol":44308.996161,"buy":331.03,"sell":333.7}}
1499705124.59={"ticker":{"high":350,"low":320.6,"last":333.84,"vol":44308.996161,"buy":331.03,"sell":333.6}}
1499705155.04={"ticker":{"high":350,"low":320.6,"last":333.84,"vol":44308.996161,"buy":331.05,"sell":333.5}}
1499705185.49={"ticker":{"high":350,"low":320.6,"last":331.02,"vol":44355.422304,"buy":329.89,"sell":332}}
1499705215.76={"ticker":{"high":350,"low":320.6,"last":332,"vol":44340.422304,"buy":329.89,"sell":332}}
1499705246.02={"ticker":{"high":350,"low":320.6,"last":331.92,"vol":44312.624451,"buy":329.95,"sell":333}}
1499705276.29={"ticker":{"high":350,"low":320.6,"last":333,"vol":44313.024451,"buy":329.93,"sell":332.92}}
1499705306.56={"ticker":{"high":350,"low":320.6,"last":333,"vol":44313.024451,"buy":329.9,"sell":332.92}}
1499705336.76={"ticker":{"high":350,"low":320.6,"last":333,"vol":44313.024451,"buy":329.88,"sell":332.92}}
1499705366.97={"ticker":{"high":350,"low":320.6,"last":333,"vol":44312.124451,"buy":329.9,"sell":332.92}}
1499705397.2={"ticker":{"high":350,"low":320.6,"last":333,"vol":44312.124451,"buy":329.97,"sell":332.92}}
1499705427.43={"ticker":{"high":350,"low":320.6,"last":333,"vol":44312.124451,"buy":329.96,"sell":332.92}}
1499705457.73={"ticker":{"high":350,"low":320.6,"last":333,"vol":44306.224451,"buy":329.91,"sell":329.96}}
1499705487.92={"ticker":{"high":350,"low":320.6,"last":329.96,"vol":44297.883551,"buy":329.97,"sell":333}}
1499705518.12={"ticker":{"high":350,"low":320.6,"last":329.96,"vol":44295.383551,"buy":329.88,"sell":332.92}}
1499705548.35={"ticker":{"high":350,"low":320.6,"last":329.96,"vol":44295.383551,"buy":329.94,"sell":332.82}}
1499705578.77={"ticker":{"high":350,"low":320.6,"last":329.96,"vol":44295.383551,"buy":329.93,"sell":332.82}}
1499705609.14={"ticker":{"high":350,"low":320.6,"last":329.96,"vol":44295.383551,"buy":329.99,"sell":332.82}}
1499705639.39={"ticker":{"high":350,"low":320.6,"last":332.8,"vol":44295.482783,"buy":329.93,"sell":332.96}}
1499705669.67={"ticker":{"high":350,"low":320.6,"last":332.8,"vol":44295.482783,"buy":329.9,"sell":332}}
1499705699.9={"ticker":{"high":350,"low":320.6,"last":332.8,"vol":44295.462783,"buy":330.05,"sell":333}}
1499705730.16={"ticker":{"high":350,"low":320.6,"last":332.8,"vol":44280.279271,"buy":330.05,"sell":332.8}}
1499705760.49={"ticker":{"high":350,"low":320.6,"last":332,"vol":44273.090082,"buy":330.08,"sell":332}}
1499705791.43={"ticker":{"high":350,"low":320.6,"last":332,"vol":44275.304845,"buy":330.11,"sell":332}}
1499705821.73={"ticker":{"high":350,"low":320.6,"last":332,"vol":44276.100086,"buy":330.01,"sell":331}}
1499705851.96={"ticker":{"high":350,"low":320.6,"last":331,"vol":44277.132687,"buy":330.01,"sell":331}}
1499705882.27={"ticker":{"high":350,"low":320.6,"last":330,"vol":44420.702089,"buy":330,"sell":330.98}}
1499705912.54={"ticker":{"high":350,"low":320.6,"last":330.98,"vol":44421.177408,"buy":330,"sell":331}}
1499705942.79={"ticker":{"high":350,"low":320.6,"last":330.98,"vol":44421.029888,"buy":330,"sell":331}}
1499705973.09={"ticker":{"high":350,"low":320.6,"last":330.98,"vol":44421.029888,"buy":330,"sell":330.98}}
1499706003.34={"ticker":{"high":350,"low":320.6,"last":330.98,"vol":44421.029888,"buy":330,"sell":331}}
1499706033.71={"ticker":{"high":350,"low":320.6,"last":330,"vol":44424.953195,"buy":329.88,"sell":330}}
1499706064.11={"ticker":{"high":350,"low":320.6,"last":330,"vol":44424.953195,"buy":329.88,"sell":330}}
1499706094.33={"ticker":{"high":350,"low":320.6,"last":330,"vol":44425.779462,"buy":329.88,"sell":330}}
1499706124.53={"ticker":{"high":350,"low":320.6,"last":331,"vol":44416.999477,"buy":329.88,"sell":331}}
1499706154.75={"ticker":{"high":350,"low":320.6,"last":331,"vol":44418.649581,"buy":329.9,"sell":333.49}}
1499706184.96={"ticker":{"high":350,"low":320.6,"last":333.49,"vol":44419.468473,"buy":329.96,"sell":333.33}}
1499706215.2={"ticker":{"high":350,"low":320.6,"last":333.33,"vol":44421.926472,"buy":329.96,"sell":333.33}}
1499706245.4={"ticker":{"high":350,"low":320.6,"last":333.33,"vol":44423.565042,"buy":329.94,"sell":333.33}}
1499706275.79={"ticker":{"high":350,"low":320.6,"last":333.33,"vol":44423.565042,"buy":330.02,"sell":333.33}}
1499706305.99={"ticker":{"high":350,"low":320.6,"last":333.33,"vol":44423.565042,"buy":329.97,"sell":333.32}}
1499706336.28={"ticker":{"high":350,"low":320.6,"last":333.33,"vol":44423.565042,"buy":330.05,"sell":333.32}}
1499706366.52={"ticker":{"high":350,"low":320.6,"last":333.33,"vol":44423.565042,"buy":330.11,"sell":333.32}}
1499706397.58={"ticker":{"high":350,"low":320.6,"last":333.33,"vol":44379.314609,"buy":329.91,"sell":333.24}}
1499706427.81={"ticker":{"high":350,"low":320.6,"last":333.33,"vol":44379.314609,"buy":330,"sell":333.24}}
1499706458.06={"ticker":{"high":350,"low":320.6,"last":330.05,"vol":44391.165746,"buy":330.05,"sell":333.24}}
1499706488.29={"ticker":{"high":350,"low":320.6,"last":330.05,"vol":44391.165746,"buy":330.14,"sell":333.2}}
1499706520.42={"ticker":{"high":350,"low":320.6,"last":330.05,"vol":44390.465574,"buy":330.2,"sell":333.2}}
1499706550.63={"ticker":{"high":350,"low":320.6,"last":330.05,"vol":44389.651291,"buy":330.2,"sell":333.2}}
1499706580.8={"ticker":{"high":350,"low":320.6,"last":330.05,"vol":44388.837008,"buy":329.96,"sell":333.1}}
1499706611.08={"ticker":{"high":350,"low":320.6,"last":333.33,"vol":44475.248951,"buy":329.9,"sell":333.08}}
1499706641.33={"ticker":{"high":350,"low":320.6,"last":333.08,"vol":44483.897975,"buy":333.08,"sell":333.1}}
1499706671.54={"ticker":{"high":350,"low":320.6,"last":333.1,"vol":44488.356986,"buy":333.08,"sell":333.1}}
1499706701.74=
1499706732.0={"ticker":{"high":350,"low":320.6,"last":333.1,"vol":44509.255564,"buy":329.94,"sell":333.1}}
1499706762.2={"ticker":{"high":350,"low":320.6,"last":333.1,"vol":44510.811353,"buy":329.9,"sell":333.1}}
1499706792.37={"ticker":{"high":350,"low":320.6,"last":333.1,"vol":44512.451479,"buy":329.9,"sell":333.1}}
1499706822.7={"ticker":{"high":350,"low":320.6,"last":333.1,"vol":44510.001467,"buy":329.9,"sell":333.1}}
1499706852.89={"ticker":{"high":350,"low":320.6,"last":333.1,"vol":44515.380854,"buy":329.9,"sell":333.08}}
1499706883.16={"ticker":{"high":350,"low":320.6,"last":333.1,"vol":44515.380854,"buy":330.02,"sell":333.08}}
1499706913.43={"ticker":{"high":350,"low":320.6,"last":333.08,"vol":44517.032111,"buy":330.02,"sell":333.08}}
1499706943.65={"ticker":{"high":350,"low":320.6,"last":333.08,"vol":44522.217335,"buy":330.02,"sell":333.08}}
1499706974.01={"ticker":{"high":350,"low":320.6,"last":333.08,"vol":44522.217335,"buy":330,"sell":333.08}}
1499707004.25={"ticker":{"high":350,"low":320.6,"last":333.08,"vol":44522.217335,"buy":330.02,"sell":333.08}}
1499707034.51={"ticker":{"high":350,"low":320.6,"last":333.1,"vol":44522.75165,"buy":330.02,"sell":333.1}}
1499707064.74={"ticker":{"high":350,"low":320.6,"last":333.1,"vol":44502.395839,"buy":330.02,"sell":333.1}}
1499707094.95={"ticker":{"high":350,"low":320.6,"last":333.1,"vol":44575.456341,"buy":330.01,"sell":333.08}}
1499707125.15={"ticker":{"high":350,"low":320.6,"last":333.1,"vol":44575.456341,"buy":330.01,"sell":333.1}}
1499707155.45={"ticker":{"high":350,"low":320.6,"last":333.1,"vol":44575.741256,"buy":330.01,"sell":333.1}}
1499707185.7={"ticker":{"high":350,"low":320.6,"last":333.1,"vol":44575.741256,"buy":330.01,"sell":333.1}}
1499707215.98={"ticker":{"high":350,"low":320.6,"last":333.1,"vol":44575.741256,"buy":330.03,"sell":333.08}}
1499707246.84={"ticker":{"high":350,"low":320.6,"last":333.1,"vol":44575.741256,"buy":330.03,"sell":332.98}}
1499707277.06={"ticker":{"high":350,"low":320.6,"last":330.03,"vol":44587.114546,"buy":330.03,"sell":332.98}}
1499707307.36={"ticker":{"high":350,"low":320.6,"last":330.03,"vol":44583.443589,"buy":330.03,"sell":332.98}}
1499707337.58={"ticker":{"high":350,"low":320.6,"last":330.03,"vol":44583.443589,"buy":330.03,"sell":332.98}}
1499707367.81={"ticker":{"high":350,"low":320.6,"last":330.03,"vol":44583.443589,"buy":330.06,"sell":333.08}}
1499707398.08={"ticker":{"high":350,"low":320.6,"last":330.03,"vol":44583.443589,"buy":329.9,"sell":333.08}}
1499707428.32={"ticker":{"high":350,"low":320.6,"last":330.03,"vol":44583.443589,"buy":329.92,"sell":333.08}}
1499707458.55={"ticker":{"high":350,"low":320.6,"last":330.03,"vol":44583.443589,"buy":329.92,"sell":333.08}}
1499707488.79={"ticker":{"high":350,"low":320.6,"last":330.03,"vol":44583.443589,"buy":329.92,"sell":333.08}}
1499707519.03={"ticker":{"high":350,"low":320.6,"last":330.03,"vol":44583.443589,"buy":329.92,"sell":333.08}}
1499707549.25={"ticker":{"high":350,"low":320.6,"last":330.03,"vol":44583.243589,"buy":329.9,"sell":333.08}}
1499707579.44={"ticker":{"high":350,"low":320.6,"last":330.03,"vol":44583.243589,"buy":329.9,"sell":333.1}}
1499707609.61={"ticker":{"high":350,"low":320.6,"last":330.03,"vol":44583.243589,"buy":329.9,"sell":333.08}}
1499707640.13={"ticker":{"high":350,"low":320.6,"last":330.03,"vol":44583.243589,"buy":329.9,"sell":333.1}}
1499707670.41={"ticker":{"high":350,"low":320.6,"last":330.03,"vol":44583.243589,"buy":329.9,"sell":333.1}}
1499707700.66={"ticker":{"high":350,"low":320.6,"last":330.03,"vol":44583.243589,"buy":329.9,"sell":333.1}}
1499707730.92={"ticker":{"high":350,"low":320.6,"last":330.03,"vol":44581.753569,"buy":329.9,"sell":333.1}}
1499707761.13={"ticker":{"high":350,"low":320.6,"last":333.1,"vol":44839.613992,"buy":333.1,"sell":333.5}}
1499707791.35={"ticker":{"high":350,"low":320.6,"last":333.1,"vol":44839.613992,"buy":333.1,"sell":333.5}}
1499707822.02={"ticker":{"high":350,"low":320.6,"last":333.1,"vol":44839.613992,"buy":333.1,"sell":333.5}}
1499707852.33={"ticker":{"high":350,"low":320.6,"last":333.1,"vol":44839.613992,"buy":333.1,"sell":333.5}}
1499707882.57={"ticker":{"high":350,"low":320.6,"last":333.1,"vol":44839.613992,"buy":333.1,"sell":333.5}}
1499707912.84={"ticker":{"high":350,"low":320.6,"last":333.1,"vol":44839.613992,"buy":329.93,"sell":333.1}}
1499707943.44={"ticker":{"high":350,"low":320.6,"last":333.1,"vol":44839.613992,"buy":329.93,"sell":333.1}}
1499707973.79={"ticker":{"high":350,"low":320.6,"last":333.1,"vol":44839.613992,"buy":329.9,"sell":333.1}}
1499708004.01={"ticker":{"high":350,"low":320.6,"last":333.1,"vol":44839.613992,"buy":329.9,"sell":333}}
1499708034.26={"ticker":{"high":350,"low":320.6,"last":333.1,"vol":44839.613992,"buy":329.9,"sell":333}}
1499708064.52={"ticker":{"high":350,"low":320.6,"last":333.1,"vol":44839.613992,"buy":329.97,"sell":333}}
